date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Urshifu-Rapid-Strike,unseenfist,3867.931931231609
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Flutter Mane,protosynthesis,3159.892550423816
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,intimidate,2852.3626135249706
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Incineroar,blaze,1.7428553942774743
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,prankster,2735.451083964642
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tornadus,defiant,7.881460695092477
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Raging Bolt,protosynthesis,2627.4317127047425
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon-Hearthflame,moldbreaker,1956.5937293612137
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Chien-Pao,swordofruin,1727.078292180194
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Ogerpon-Wellspring,waterabsorb,1690.6408755355594
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,grassysurge,1574.8646463900448
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Rillaboom,overgrow,1.488329827098991
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,sheerforce,1510.728764200691
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Landorus,sandforce,7.177919203814289
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gholdengo,goodasgold,1339.9924509143846
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,psychicsurge,1320.7880080440245
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee-F,owntempo,0.5214686589243666
